Index,Date_and_Time,Temperature
1,10-01-2014 0.10,18.414
2,10-01-2014 0.25,18.58
3,10-01-2014 0.40,18.176
4,10-01-2014 0.55,17.796
5,10-01-2014 1.10,17.986
6,10-01-2014 1.25,18.247
7,10-01-2014 1.40,17.677
8,10-01-2014 1.55,18.081
9,10-01-2014 2.10,17.629
10,10-01-2014 2.25,18.176
11,10-01-2014 2.40,17.724
12,10-01-2014 2.55,17.011
13,10-01-2014 3.10,16.63
14,10-01-2014 3.25,17.201
15,10-01-2014 3.40,16.987
16,10-01-2014 3.55,16.677
17,10-01-2014 4.10,16.963
18,10-01-2014 4.25,15.629
19,10-01-2014 4.40,14.721
20,10-01-2014 4.55,16.249
21,10-01-2014 5.10,16.868
22,10-01-2014 5.25,16.582
23,10-01-2014 5.40,16.344
24,10-01-2014 5.55,17.106
25,10-01-2014 6.10,19.08
26,10-01-2014 6.25,20.531
27,10-01-2014 6.40,21.843
28,10-01-2014 6.55,22.609
29,10-01-2014 7.10,23.04
30,10-01-2014 7.25,23.809
31,10-01-2014 7.40,23.809
32,10-01-2014 7.55,24.75
33,10-01-2014 8.10,25.04
34,10-01-2014 8.25,26.012
35,10-01-2014 8.40,27.825
36,10-01-2014 8.55,27.456
37,10-01-2014 9.10,27.481
38,10-01-2014 9.25,28.941
39,10-01-2014 9.40,29.09
40,10-01-2014 9.55,29.19
41,10-01-2014 10.10,30.117
42,10-01-2014 10.25,30.798
43,10-01-2014 10.40,30.824
44,10-01-2014 10.55,30.697
45,10-01-2014 11.10,29.765
46,10-01-2014 11.25,30.672
47,10-01-2014 11.40,30.621
48,10-01-2014 11.55,31.484
49,10-01-2014 12.10,31.077
50,10-01-2014 12.25,30.824
51,10-01-2014 12.40,31.179
52,10-01-2014 12.55,31.535
53,10-01-2014 13.10,31.561
54,10-01-2014 13.25,32.124
55,10-01-2014 13.40,32.021
56,10-01-2014 13.55,31.944
57,10-01-2014 14.10,31.51
58,10-01-2014 14.25,31.868
59,10-01-2014 14.40,31.23
60,10-01-2014 14.55,32.15
61,10-01-2014 15.10,31.23
62,10-01-2014 15.25,31.103
63,10-01-2014 15.40,30.824
64,10-01-2014 15.55,30.419
65,10-01-2014 16.10,30.192
66,10-01-2014 16.25,29.865
67,10-01-2014 16.40,29.365
68,10-01-2014 16.55,29.24
69,10-01-2014 17.10,28.642
70,10-01-2014 17.25,27.924
71,10-01-2014 17.40,27.776
72,10-01-2014 17.55,26.842
73,10-01-2014 18.10,25.89
74,10-01-2014 18.25,25.477
75,10-01-2014 18.40,24.895
76,10-01-2014 18.55,24.484
77,10-01-2014 19.10,23.617
78,10-01-2014 19.25,23.376
79,10-01-2014 19.40,22.968
80,10-01-2014 19.55,22.705
81,10-01-2014 20.10,22.178
82,10-01-2014 20.25,21.581
83,10-01-2014 20.40,21.366
84,10-01-2014 20.55,20.698
85,10-01-2014 21.10,21.008
86,10-01-2014 21.25,20.722
87,10-01-2014 21.40,20.793
88,10-01-2014 21.55,20.436
89,10-01-2014 22.10,20.913
90,10-01-2014 22.25,20.65
91,10-01-2014 22.40,20.365
92,10-01-2014 22.55,19.46
93,10-01-2014 23.10,19.103
94,10-01-2014 23.25,19.032
95,10-01-2014 23.40,18.842
96,10-01-2014 23.55,18.224
97,10-02-2014 0.10,17.843
98,10-02-2014 0.25,17.582
99,10-02-2014 0.40,17.677
100,10-02-2014 0.55,17.701
101,10-02-2014 1.10,17.51
102,10-02-2014 1.25,17.296
103,10-02-2014 1.40,17.082
104,10-02-2014 1.55,17.106
105,10-02-2014 2.10,17.891
106,10-02-2014 2.25,17.13
107,10-02-2014 2.40,16.868
108,10-02-2014 2.55,17.13
109,10-02-2014 3.10,16.915
110,10-02-2014 3.25,16.225
111,10-02-2014 3.40,16.558
112,10-02-2014 3.55,16.654
113,10-02-2014 4.10,16.773
114,10-02-2014 4.25,16.773
115,10-02-2014 4.40,16.987
116,10-02-2014 4.55,16.844
117,10-02-2014 5.10,16.63
118,10-02-2014 5.25,17.463
119,10-02-2014 5.40,17.677
120,10-02-2014 5.55,18.057
121,10-02-2014 6.10,18.866
122,10-02-2014 6.25,19.246
123,10-02-2014 6.40,19.746
124,10-02-2014 6.55,20.079
125,10-02-2014 7.10,20.46
126,10-02-2014 7.25,20.984
127,10-02-2014 7.40,21.413
128,10-02-2014 7.55,22.011
129,10-02-2014 8.10,22.992
130,10-02-2014 8.25,23.617
131,10-02-2014 8.40,23.833
132,10-02-2014 8.55,24.171
133,10-02-2014 9.10,25.38
134,10-02-2014 9.25,25.866
135,10-02-2014 9.40,26.28
136,10-02-2014 9.55,27.284
137,10-02-2014 10.10,28.147
138,10-02-2014 10.25,27.974
139,10-02-2014 10.40,29.115
140,10-02-2014 10.55,28.295
141,10-02-2014 11.10,28.891
142,10-02-2014 11.25,30.394
143,10-02-2014 11.40,29.89
144,10-02-2014 11.55,30.773
145,10-02-2014 12.10,30.697
146,10-02-2014 12.25,31.103
147,10-02-2014 12.40,32.924
148,10-02-2014 12.55,31.765
149,10-02-2014 13.10,32.253
150,10-02-2014 13.25,32.253
151,10-02-2014 13.40,32.253
