Index,Date_time,Temperature
1,9/30/2014 12:25,30.495
2,9/30/2014 12:40,30.268
3,9/30/2014 12:55,30.52
4,9/30/2014 13:10,31.281
5,9/30/2014 13:25,30.748
6,9/30/2014 13:40,30.925
7,9/30/2014 13:55,30.925
8,9/30/2014 14:10,31.663
9,9/30/2014 14:25,31.535
10,9/30/2014 14:40,30.874
11,9/30/2014 14:55,30.798
12,9/30/2014 15:10,30.824
13,9/30/2014 15:25,30.419
14,9/30/2014 15:40,30.167
15,9/30/2014 15:55,30.369
16,9/30/2014 16:10,29.815
17,9/30/2014 16:25,29.389
18,9/30/2014 16:40,28.791
19,9/30/2014 16:55,28.32
20,9/30/2014 17:10,27.554
21,9/30/2014 17:25,26.769
22,9/30/2014 17:40,25.866
23,9/30/2014 17:55,25.355
24,9/30/2014 18:10,24.968
25,9/30/2014 18:25,24.605
26,9/30/2014 18:40,23.978
27,9/30/2014 18:55,23.4
28,9/30/2014 19:10,23.16
29,9/30/2014 19:25,23.448
30,9/30/2014 19:40,23.809
31,9/30/2014 19:55,23.184
32,9/30/2014 20:10,23.184
33,9/30/2014 20:25,22.944
34,9/30/2014 20:40,22.513
35,9/30/2014 20:55,22.705
36,9/30/2014 21:10,22.753
37,9/30/2014 21:25,22.441
38,9/30/2014 21:40,22.561
39,9/30/2014 21:55,21.557
40,9/30/2014 22:10,20.889
41,9/30/2014 22:25,19.793
42,9/30/2014 22:40,19.008
43,9/30/2014 22:55,18.723
44,9/30/2014 23:10,18.438
45,9/30/2014 23:25,18.366
46,9/30/2014 23:40,17.748
47,9/30/2014 23:55,17.962
48,10-01-2014 0.10,18.414
49,10-01-2014 0.25,18.58
50,10-01-2014 0.40,18.176
51,10-01-2014 0.55,17.796
52,10-01-2014 1.10,17.986
53,10-01-2014 1.25,18.247
54,10-01-2014 1.40,17.677
55,10-01-2014 1.55,18.081
56,10-01-2014 2.10,17.629
57,10-01-2014 2.25,18.176
58,10-01-2014 2.40,17.724
59,10-01-2014 2.55,17.011
60,10-01-2014 3.10,16.63
61,10-01-2014 3.25,17.201
62,10-01-2014 3.40,16.987
63,10-01-2014 3.55,16.677
64,10-01-2014 4.10,16.963
65,10-01-2014 4.25,15.629
66,10-01-2014 4.40,14.721
67,10-01-2014 4.55,16.249
68,10-01-2014 5.10,16.868
69,10-01-2014 5.25,16.582
70,10-01-2014 5.40,16.344
71,10-01-2014 5.55,17.106
72,10-01-2014 6.10,19.08
73,10-01-2014 6.25,20.531
74,10-01-2014 6.40,21.843
75,10-01-2014 6.55,22.609
76,10-01-2014 7.10,23.04
77,10-01-2014 7.25,23.809
78,10-01-2014 7.40,23.809
79,10-01-2014 7.55,24.75
80,10-01-2014 8.10,25.04
81,10-01-2014 8.25,26.012
82,10-01-2014 8.40,27.825
83,10-01-2014 8.55,27.456
84,10-01-2014 9.10,27.481
85,10-01-2014 9.25,28.941
86,10-01-2014 9.40,29.09
87,10-01-2014 9.55,29.19
88,10-01-2014 10.10,30.117
89,10-01-2014 10.25,30.798
90,10-01-2014 10.40,30.824
91,10-01-2014 10.55,30.697
92,10-01-2014 11.10,29.765
93,10-01-2014 11.25,30.672
94,10-01-2014 11.40,30.621
95,10-01-2014 11.55,31.484
96,10-01-2014 12.10,31.077
97,10-01-2014 12.25,30.824
98,10-01-2014 12.40,31.179
