index,temperature,humidity,timeC,date
1,31,80,5.48.19,21-10-2019
2,31,80,5.48.30,22-10-2019
3,31,80,5.48.40,23-10-2019
4,31,80,5.48.51,24-10-2019
5,31,80,5.49.02,25-10-2019
6,31,80,5.49.12,26-10-2019
7,31,80,5.49.23,27-10-2019
8,31,80,5.49.33,28-10-2019
9,31,80,5.49.44,29-10-2019
10,31,80,5.49.55,30-10-2019
11,31,80,5.50.05,31-10-2019
12,22,75,5.20.18,01-11-2019
13,25,64,5.20.28,02-11-2019
14,24,61,5.20.39,03-11-2019
15,24,59,5.20.50,04-11-2019
16,33,95,5.21.32,05-11-2019
17,32,95,5.21.42,06-11-2019
18,30,95,5.21.53,07-11-2019
19,26,65,10.18.43,08-11-2019
20,22,69,10.18.54,09-11-2019
21,22,69,10.19.04,10-11-2019
22,26,69,6.00.41,11-11-2019
23,26,66,6.01.01,12-11-2019
24,24,74,6.32.48,13-11-2019
25,23,73,6.35.24,14-11-2019
26,23,75,6.35.40,15-11-2019
27,23,75,6.35.53,16-11-2019
28,23,75,6.36.07,17-11-2019
29,23,75,6.36.21,18-11-2019
30,23,75,6.36.34,19-11-2019
31,23,75,6.36.50,20-11-2019
32,23,75,6.37.03,21-11-2019
33,23,75,6.37.30,22-11-2019
34,23,75,6.37.44,23-11-2019
35,23,75,6.37.57,24-11-2019
36,23,75,6.38.10,25-11-2019
37,23,75,6.38.22,26-11-2019
38,23,75,6.38.34,27-11-2019
39,23,75,6.38.46,28-11-2019
40,23,75,6.38.59,29-11-2019
41,23,75,6.39.13,30-11-2019
42,23,75,6.39.28,01-12-2019
43,23,75,6.39.40,02-12-2019
44,23,74,6.39.52,03-12-2019
45,23,75,6.40.05,04-12-2019
46,23,74,6.40.17,05-12-2019
47,23,74,6.40.32,06-12-2019
48,24,66,1.21.08,07-12-2019
49,24,69,1.21.21,08-12-2019
