ID,Date and Time,Temperature,Light Intensity,Binary State
1,04-09-2015 0.10,26.353,798,100
2,04-09-2015 0.25,26.353,804,100
3,04-09-2015 0.40,26.256,845,100
4,04-09-2015 0.55,25.963,845,100
5,04-09-2015 1.10,25.914,921,100
6,04-09-2015 1.25,25.574,1024,100
7,04-09-2015 1.40,25.574,1165,11
8,04-09-2015 1.55,25.04,1520,11
9,04-09-2015 2.10,25.501,1520,11
10,04-09-2015 2.25,25.331,1572,11
11,04-09-2015 2.40,24.653,1570,11
12,04-09-2015 2.55,24.412,1570,11
13,04-09-2015 3.10,24.992,1102,11
14,04-09-2015 3.25,24.195,1102,11
15,04-09-2015 3.40,24.291,1102,1
16,04-09-2015 3.55,24.05,1101,1
17,04-09-2015 4.10,24.339,1100,1
18,04-09-2015 4.25,24.847,1100,0
19,04-09-2015 4.40,24.146,1100,0
20,04-09-2015 4.55,23.905,991,0
21,04-09-2015 5.10,23.761,842,0
22,04-09-2015 5.25,23.93,500,0
23,04-09-2015 5.40,23.737,438,0
24,04-09-2015 5.55,23.713,320,0
25,04-09-2015 6.10,23.593,240,0
26,04-09-2015 6.25,23.665,183,0
27,04-09-2015 6.40,23.833,100,1
28,04-09-2015 6.55,24.002,50,1
29,04-09-2015 7.10,24.002,21,1
30,04-09-2015 7.25,24.002,18,1
31,04-09-2015 7.40,24.05,15,1
32,04-09-2015 7.55,24.146,8,10
33,04-09-2015 8.10,24.219,8,10
34,04-09-2015 8.25,25.72,8,10
35,04-09-2015 8.40,25.331,8,10
36,04-09-2015 8.55,25.939,8,10
37,04-09-2015 9.10,25.744,8,100
38,04-09-2015 9.25,25.647,7,100
39,04-09-2015 9.40,25.501,7,110
40,04-09-2015 9.55,25.623,7,110
41,04-09-2015 10.10,25.113,7,110
42,04-09-2015 10.25,26.329,7,110
43,04-09-2015 10.40,26.182,5,111
44,04-09-2015 10.55,26.451,5,111
45,04-09-2015 11.10,26.744,5,111
46,04-09-2015 11.25,26.5,1,111
47,04-09-2015 11.40,27.456,1,111
48,04-09-2015 11.55,27.333,0,111
49,04-09-2015 12.10,27.801,0,111
50,04-09-2015 12.25,27.751,0,111
51,04-09-2015 12.40,28.122,0,111
52,04-09-2015 12.55,28.841,0,111
53,04-09-2015 13.10,29.04,0,111
54,04-09-2015 13.25,29.24,0,111
55,04-09-2015 13.40,29.765,0,111
56,04-09-2015 13.55,29.89,0,111
57,04-09-2015 14.10,30.016,0,111
58,04-09-2015 14.25,30.318,0,111
59,04-09-2015 14.40,30.748,0,111
60,04-09-2015 14.55,30.016,0,111
61,04-09-2015 15.10,30.621,0,111
62,04-09-2015 15.25,30.511,0,111
63,04-09-2015 15.40,29.515,0,111
64,04-09-2015 15.55,29.115,0,110
65,04-09-2015 16.10,29.89,0,110
66,04-09-2015 16.25,29.308,1,110
67,04-09-2015 16.40,29.865,1,110
68,04-09-2015 16.55,28.147,1,110
69,04-09-2015 17.10,28.171,5,110
70,04-09-2015 17.25,28.211,5,110
71,04-09-2015 17.40,28.468,5,110
72,04-09-2015 17.55,28.345,12,110
73,04-09-2015 18.10,28.072,12,110
74,04-09-2015 18.25,27.505,15,110
75,04-09-2015 18.40,27.653,20,110
76,04-09-2015 18.55,27.604,49,110
77,04-09-2015 19.10,27.776,50,110
78,04-09-2015 19.25,27.604,50,110
79,04-09-2015 19.40,27.554,72,110
80,04-09-2015 19.55,27.776,80,110
81,04-09-2015 20.10,27.505,92,110
82,04-09-2015 20.25,27.85,150,110
83,04-09-2015 20.40,26.085,198,110
84,04-09-2015 20.55,26.573,210,101
85,04-09-2015 21.10,26.646,210,101
86,04-09-2015 21.25,26.671,354,101
87,04-09-2015 21.40,26.304,384,101
88,04-09-2015 21.55,26.085,425,101
89,04-09-2015 22.10,26.793,486,101
90,04-09-2015 22.25,25.307,504,101
91,04-09-2015 22.40,25.793,521,101
92,04-09-2015 22.55,25.72,598,101
93,04-09-2015 23.10,25.987,600,101
94,04-09-2015 23.25,25.793,627,101
95,04-09-2015 23.40,25.21,687,101
96,04-09-2015 23.55,25.162,734,101
