Index	Date_and_Time	Temperature
1	12-17-2018	63.1
2	12-18-2018	60.8
3	12-19-2018	62.5
4	12-20-2018	63.5
5	12-21-2018	63.3
6	12-22-2018	64
7	12-23-2018	63.4
8	12-24-2018	64.3
9	12-25-2018	63.8
10	12-26-2018	61.1
11	12-27-2018	61.8
12	12-28-2018	61.1
13	12-29-2018	59.5
14	12-30-2018	61.3
15	12-31-2018	61.2
16	01-01-2019	62.8
17	01-02-2019	64.8
18	01-03-2019	63.6
19	01-04-2019	62.4
20	01-05-2019	62.9
21	01-06-2019	65.4
22	01-07-2019	66.1
23	01-08-2019	65.7
24	01-09-2019	64.6
25	01-10-2019	63.7
26	01-11-2019	62.3
27	01-12-2019	64.3
28	1-13-2019	65.7
29	1-14-2019	66.7
30	1-15-2019	64.3
31	1-16-2019	61.8
32	1-17-2019	63.3
33	1-18-2019	65.3
34	1-19-2019	63.7
35	1-20-2019	64.4
36	1-21-2019	65.5
37	1-22-2019	67.7
38	1-23-2019	65
39	1-24-2019	70.1
40	1-25-2019	70.2
41	1-26-2019	71.3
42	1-27-2019	71.5
43	1-28-2019	67.2
44	1-29-2019	64.2
45	1-30-2019	63.1
46	1-31-2019	65
47	02-01-2019	66.6
48	02-02-2019	68.2
49	02-03-2019	70.3
50	02-04-2019	69.5
51	02-05-2019	67.7
52	02-06-2019	69
53	02-07-2019	72.3
54	02-08-2019	73.7
55	02-09-2019	70
56	02-10-2019	66.2
57	02-11-2019	67.1
58	02-12-2019	68.8
59	2-13-2019	69.8
60	2-14-2019	72.9
61	2-15-2019	74.3
62	2-16-2019	72
63	2-17-2019	71.9
64	2-18-2019	70.1
65	2-19-2019	75.7
66	2-20-2019	77.5
67	2-21-2019	78.5
68	2-22-2019	81.5
69	2-23-2019	82.1
70	2-24-2019	77.2
71	2-25-2019	68.3
72	2-26-2019	67.9
73	2-27-2019	69.6
74	2-28-2019	68.5
75	03-01-2019	67.8
76	03-02-2019	68.9
77	03-03-2019	73.2
78	03-04-2019	75.5
79	03-05-2019	76
80	03-06-2019	75.1
81	03-07-2019	73.1
82	03-08-2019	75.5
83	03-09-2019	77.5
84	03-10-2019	79.6
85	03-11-2019	82.5
86	03-12-2019	84
87	3-13-2019	84.3
88	3-14-2019	84
