Index,Date_and_Time,Temperature
1,1-1-1995,63
2,1-2-1995,61.4
3,1-3-1995,60.6
4,1-4-1995,61.3
5,1-5-1995,62.3
6,1-6-1995,66.6
7,1-7-1995,66.8
8,1-8-1995,66.9
9,1-9-1995,62.7
10,1-10-1995,66.8
11,1-11-1995,67
12,1-12-1995,63.9
13,1-13-1995,63.2
14,1-14-1995,59.8
15,1-15-1995,61.7
16,1-16-1995,67
17,1-17-1995,66
18,1-18-1995,67.5
19,1-19-1995,64.6
20,1-20-1995,62.8
21,1-21-1995,64.9
22,1-22-1995,65.2
23,1-23-1995,63.9
24,1-24-1995,62.6
25,1-25-1995,61.3
26,1-26-1995,62.8
27,1-27-1995,65.3
28,1-28-1995,66
29,1-29-1995,65.2
30,1-30-1995,68.2
31,1-31-1995,67.3
32,2-1-1995,63.2
33,2-2-1995,66
34,2-3-1995,69.9
35,2-4-1995,68.1
36,2-5-1995,68.3
37,2-6-1995,68
38,2-7-1995,66.8
39,2-8-1995,69.8
40,2-9-1995,70.2
41,2-10-1995,73.3
42,2-11-1995,72.8
43,2-12-1995,74.5
44,2-13-1995,79.7
45,2-14-1995,78.4
46,2-15-1995,73.7
47,2-16-1995,69.6
48,2-17-1995,71.1
49,2-18-1995,73.8
50,2-19-1995,71.4
51,2-20-1995,72.5
52,2-21-1995,76.7
53,2-22-1995,75.6
54,2-23-1995,75.1
55,2-24-1995,70.6
56,2-25-1995,68.7
57,2-26-1995,72.2
58,2-27-1995,71.1
59,2-28-1995,75.5
60,3-1-1995,77.2
61,3-2-1995,76
62,3-3-1995,77.4
63,3-4-1995,75.4
64,3-5-1995,72.6
65,3-6-1995,79.6
66,3-7-1995,73.5
67,3-8-1995,76.9
68,3-9-1995,76.9
69,3-10-1995,75.1
70,3-11-1995,72.1
71,3-12-1995,77.5
72,3-13-1995,76
73,3-14-1995,77.1
74,3-15-1995,80.2
75,3-16-1995,82.4
76,3-17-1995,81.6
77,3-18-1995,83.3
78,3-19-1995,84.4
79,3-20-1995,86.2
80,3-21-1995,86.9
81,3-22-1995,85.1
82,3-23-1995,84.2
83,3-24-1995,87.8
84,3-25-1995,86.4
85,3-26-1995,85.6
86,3-27-1995,81.3
87,3-28-1995,79.5
88,3-29-1995,81
89,3-30-1995,82.6
90,3-31-1995,86.6
91,4-1-1995,85.5
92,4-2-1995,83.1
93,4-3-1995,84.8
94,4-4-1995,83.5
95,4-5-1995,82.9
96,4-6-1995,86.9
97,4-7-1995,87.5
98,4-8-1995,88.1
99,4-9-1995,87.7
100,4-10-1995,87.2
101,4-11-1995,85
102,4-12-1995,90.1
103,4-13-1995,86.9
104,4-14-1995,85.6
105,4-15-1995,87.3
106,4-16-1995,86
107,4-17-1995,87.7
108,4-18-1995,87.4
109,4-19-1995,90.1
110,4-20-1995,85.8
111,4-21-1995,86.2
112,4-22-1995,88.9
113,4-23-1995,90.9
114,4-24-1995,90.9
115,4-25-1995,91.4
116,4-26-1995,90.2
117,4-27-1995,88
118,4-28-1995,89.8
119,4-29-1995,91.6
120,4-30-1995,92.1
121,5-1-1995,90.9
122,5-2-1995,89.7
123,5-3-1995,90.1
124,5-4-1995,90
125,5-5-1995,89.6
126,5-6-1995,89.4
127,5-7-1995,89.8
128,5-8-1995,87
129,5-9-1995,86.9
130,5-10-1995,79.3
131,5-11-1995,81.9
132,5-12-1995,82.3
133,5-13-1995,81.9
134,5-14-1995,81.8
135,5-15-1995,80.3
136,5-16-1995,79.2
137,5-17-1995,84
138,5-18-1995,90
139,5-19-1995,87.6
140,5-20-1995,85.4
141,5-21-1995,86
142,5-22-1995,88.7
143,5-23-1995,88.3
144,5-24-1995,88.9
145,5-25-1995,90.2
146,5-26-1995,91.6
147,5-27-1995,92
148,5-28-1995,91.3
149,5-29-1995,89.4
150,5-30-1995,88.7
151,5-31-1995,88.9
152,6-1-1995,89
153,6-2-1995,89.1
154,6-3-1995,88.9
155,6-4-1995,88.3
156,6-5-1995,81.8
157,6-6-1995,86.1
158,6-7-1995,86.5
159,6-8-1995,87.3
160,6-9-1995,87.2
161,6-10-1995,86.7
162,6-11-1995,82.7
163,6-12-1995,83.4
164,6-13-1995,86.2
165,6-14-1995,87.1
166,6-15-1995,88.2
167,6-16-1995,86.4
168,6-17-1995,82.1
169,6-18-1995,83.9
170,6-19-1995,84.3
171,6-20-1995,79.6
172,6-21-1995,83.9
173,6-22-1995,91
174,6-23-1995,91.6
175,6-24-1995,84.8
176,6-25-1995,84.3
177,6-26-1995,84.5
178,6-27-1995,86.8
179,6-28-1995,85.6
180,6-29-1995,87.4
181,6-30-1995,87.3
182,7-1-1995,84.4
183,7-2-1995,82
184,7-3-1995,80.9
185,7-4-1995,84.7
186,7-5-1995,83.3
187,7-6-1995,88.2
188,7-7-1995,87
189,7-8-1995,87.5
190,7-9-1995,85.3
191,7-10-1995,84
192,7-11-1995,83.3
193,7-12-1995,83.7
194,7-13-1995,84.4
195,7-14-1995,84.3
196,7-15-1995,85.3
197,7-16-1995,85.5
198,7-17-1995,83.6
199,7-18-1995,83.6
200,7-19-1995,81.9
201,7-20-1995,81.7
202,7-21-1995,82.4
203,7-22-1995,80.3
204,7-23-1995,82.5
205,7-24-1995,84.9
206,7-25-1995,86.5
207,7-26-1995,86.6
208,7-27-1995,81.5
209,7-28-1995,83.7
210,7-29-1995,86.1
211,7-30-1995,84.8
212,7-31-1995,83
213,8-1-1995,84.7
214,8-2-1995,83.2
215,8-3-1995,79.8
216,8-4-1995,83.7
217,8-5-1995,85.7
218,8-6-1995,84
219,8-7-1995,84.8
220,8-8-1995,83.3
221,8-9-1995,83.5
222,8-10-1995,83.7
223,8-11-1995,85.8
224,8-12-1995,85.6
225,8-13-1995,86.4
226,8-14-1995,86.8
227,8-15-1995,82.6
228,8-16-1995,83.6
229,8-17-1995,82.1
230,8-18-1995,83.5
231,8-19-1995,83.4
232,8-20-1995,82.6
233,8-21-1995,79.5
234,8-22-1995,84.3
235,8-23-1995,83.3
236,8-24-1995,86.6
237,8-25-1995,85.5
238,8-26-1995,86.9
239,8-27-1995,87
240,8-28-1995,87.7
241,8-29-1995,85.9
242,8-30-1995,84.1
243,8-31-1995,85.8
244,9-1-1995,83.1
245,9-2-1995,82.5
246,9-3-1995,80.5
247,9-4-1995,79.5
248,9-5-1995,78.8
249,9-6-1995,84.9
250,9-7-1995,85.3
251,9-8-1995,84.7
252,9-9-1995,81.6
253,9-10-1995,84.9
254,9-11-1995,84.8
255,9-12-1995,85.4
256,9-13-1995,86.2
257,9-14-1995,86.5
258,9-15-1995,82.4
259,9-16-1995,81.1
260,9-17-1995,81.6
261,9-18-1995,81.9
262,9-19-1995,84.2
263,9-20-1995,85.6
264,9-21-1995,86
265,9-22-1995,84.6
266,9-23-1995,82.4
267,9-24-1995,82.4
268,9-25-1995,81.1
269,9-26-1995,78.5
270,9-27-1995,80.4
271,9-28-1995,81
272,9-29-1995,82.8
273,9-30-1995,82.4
274,10-1-1995,83.6
275,10-2-1995,83.2
276,10-3-1995,85.1
277,10-4-1995,83.5
278,10-5-1995,84.2
279,10-6-1995,83.8
280,10-7-1995,82.4
281,10-8-1995,79
282,10-9-1995,79.3
283,10-10-1995,80.7
284,10-11-1995,83.1
285,10-12-1995,84.1
286,10-13-1995,84.7
287,10-14-1995,84.4
288,10-15-1995,85.9
289,10-16-1995,83.4
290,10-17-1995,82.4
291,10-18-1995,79.7
292,10-19-1995,82.5
293,10-20-1995,83
294,10-21-1995,80.6
295,10-22-1995,81.9
296,10-23-1995,81.8
297,10-24-1995,78.6
298,10-25-1995,76.9
299,10-26-1995,77.8
300,10-27-1995,78.4
301,10-28-1995,80.4
302,10-29-1995,81
303,10-30-1995,78.7
304,10-31-1995,76.6
305,11-1-1995,78.7
306,11-2-1995,77.9
307,11-3-1995,76.7
308,11-4-1995,74
309,11-5-1995,76.3
310,11-6-1995,76.2
311,11-7-1995,78.9
312,11-8-1995,78.3
313,11-9-1995,74.9
314,11-10-1995,79.1
315,11-11-1995,76.3
316,11-12-1995,75.7
317,11-13-1995,75.6
318,11-14-1995,75.3
319,11-15-1995,77.9
320,11-16-1995,78.2
321,11-17-1995,75.9
322,11-18-1995,74.9
323,11-19-1995,75
324,11-20-1995,75.5
325,11-21-1995,73.8
326,11-22-1995,73.6
327,11-23-1995,73.1
328,11-24-1995,73.1
329,11-25-1995,70.7
330,11-26-1995,67.5
331,11-27-1995,65.7
332,11-28-1995,68.7
333,11-29-1995,68.1
334,11-30-1995,68
335,12-1-1995,69.9
336,12-2-1995,69.2
337,12-3-1995,66
338,12-4-1995,64.6
339,12-5-1995,65.4
340,12-6-1995,66.2
341,12-7-1995,68.6
342,12-8-1995,67.1
343,12-9-1995,68.3
344,12-10-1995,68
345,12-11-1995,69.7
346,12-12-1995,69.5
347,12-13-1995,68.1
348,12-14-1995,66.9
349,12-15-1995,66.7
350,12-16-1995,66.9
351,12-17-1995,67.5
352,12-18-1995,67.7
353,12-19-1995,67.5
354,12-20-1995,66.9
355,12-21-1995,67.2
356,12-22-1995,68.4
357,12-23-1995,71.3
358,12-24-1995,69
359,12-25-1995,71.9
360,12-26-1995,67.6
361,12-27-1995,65.1
362,12-28-1995,63.5
363,12-29-1995,66.1
364,12-30-1995,66.6
365,12-31-1995,67.6
366,1-1-1996,67.9
367,1-2-1996,70.7
368,1-3-1996,67
369,1-4-1996,68.7
370,1-5-1996,69.3
371,1-6-1996,68.3
372,1-7-1996,67.3
373,1-8-1996,67
374,1-9-1996,66.8
375,1-10-1996,67.8
376,1-11-1996,72.1
377,1-12-1996,65.2
378,1-13-1996,65.8
379,1-14-1996,68
380,1-15-1996,71.9
381,1-16-1996,74.1
382,1-17-1996,66.1
383,1-18-1996,67
384,1-19-1996,64.5
385,1-20-1996,64.9
386,1-21-1996,62
387,1-22-1996,62.6
