temp,humd,timeC
22.0,77.0,02:52:53
22.0,77.0,02:53:06
22.0,76.0,02:53:18
23.0,76.0,02:53:30
23.0,76.0,02:53:42
23.0,75.0,02:53:54
23.0,75.0,02:54:07
23.0,75.0,02:54:19
23.0,75.0,02:54:31
23.0,75.0,02:54:43
23.0,74.0,02:54:55
23.0,75.0,02:55:08
23.0,75.0,02:55:20
23.0,75.0,02:55:57
23.0,75.0,02:56:09
23.0,75.0,02:56:22
23.0,75.0,02:56:34
23.0,76.0,02:56:46
23.0,76.0,02:56:58
23.0,76.0,02:57:10
23.0,76.0,02:57:22
23.0,76.0,02:57:34
23.0,76.0,02:57:58
23.0,75.0,02:58:10
23.0,75.0,02:58:34
23.0,75.0,02:58:47
23.0,75.0,02:58:59
23.0,75.0,02:59:11
23.0,75.0,02:59:23
23.0,75.0,02:59:37
23.0,75.0,02:59:51
23.0,75.0,03:00:15
23.0,75.0,03:00:27
23.0,75.0,03:02:10
23.0,75.0,03:02:33
