Index,Date_Time,Temperature
1,05-01-2015 0.10,10.98
2,05-01-2015 0.25,10.761
3,05-01-2015 0.40,10.81
4,05-01-2015 0.55,10.785
5,05-01-2015 1.10,11.005
6,05-01-2015 1.25,11.394
7,05-01-2015 1.40,10.345
8,05-01-2015 1.55,11.565
9,05-01-2015 2.10,12.001
10,05-01-2015 2.25,11.88
11,05-01-2015 2.40,11.37
12,05-01-2015 2.55,11.37
13,05-01-2015 3.10,11.37
14,05-01-2015 3.25,10.492
15,05-01-2015 3.40,9.805
16,05-01-2015 3.55,9.213
17,05-01-2015 4.10,9.952
18,05-01-2015 4.25,9.756
19,05-01-2015 4.40,10.345
20,05-01-2015 4.55,10.173
21,05-01-2015 5.10,10.198
22,05-01-2015 5.25,9.952
23,05-01-2015 5.40,9.805
24,05-01-2015 5.55,9.435
25,05-01-2015 6.10,9.854
26,05-01-2015 6.25,10.858
27,05-01-2015 6.40,14.05
28,05-01-2015 6.55,16.32
29,05-01-2015 7.10,19.603
30,05-01-2015 7.25,19.365
31,05-01-2015 7.40,19.008
32,05-01-2015 7.55,19.722
33,05-01-2015 8.10,21.628
34,05-01-2015 8.25,23.665
35,05-01-2015 8.40,22.872
36,05-01-2015 8.55,24.581
37,05-01-2015 9.10,25.744
38,05-01-2015 9.25,25.525
39,05-01-2015 9.40,26.036
40,05-01-2015 9.55,26.524
41,05-01-2015 10.10,27.087
42,05-01-2015 10.25,27.554
43,05-01-2015 10.40,27.136
44,05-01-2015 10.55,27.382
45,05-01-2015 11.10,27.801
46,05-01-2015 11.25,28.27
47,05-01-2015 11.40,28.667
48,05-01-2015 11.55,28.419
49,05-01-2015 12.10,29.265
50,05-01-2015 12.25,29.365
51,05-01-2015 12.40,29.165
52,05-01-2015 12.55,29.49
53,05-01-2015 13.10,29.09
54,05-01-2015 13.25,28.916
55,05-01-2015 13.40,29.24
56,05-01-2015 13.55,29.389
57,05-01-2015 14.10,29.04
58,05-01-2015 14.25,29.09
59,05-01-2015 14.40,29.24
60,05-01-2015 14.55,28.667
61,05-01-2015 15.10,28.692
62,05-01-2015 15.25,28.295
63,05-01-2015 15.40,28.048
64,05-01-2015 15.55,27.751
65,05-01-2015 16.10,27.014
66,05-01-2015 16.25,26.5
67,05-01-2015 16.40,25.404
68,05-01-2015 16.55,24.171
69,05-01-2015 17.10,23.328
70,05-01-2015 17.25,21.867
71,05-01-2015 17.40,20.484
72,05-01-2015 17.55,18.414
73,05-01-2015 18.10,17.653
74,05-01-2015 18.25,16.63
75,05-01-2015 18.40,15.986
76,05-01-2015 18.55,14.816
77,05-01-2015 19.10,15.223
78,05-01-2015 19.25,14.505
79,05-01-2015 19.40,13.906
80,05-01-2015 19.55,13.858
81,05-01-2015 20.10,13.954
82,05-01-2015 20.25,14.146
83,05-01-2015 20.40,14.601
84,05-01-2015 20.55,14.146
85,05-01-2015 21.10,13.449
86,05-01-2015 21.25,15.557
87,05-01-2015 21.40,14.649
88,05-01-2015 21.55,14.577
89,05-01-2015 22.10,14.673
90,05-01-2015 22.25,14.745
91,05-01-2015 22.40,15.031
92,05-01-2015 22.55,15.031
93,05-01-2015 23.10,15.055
94,05-01-2015 23.25,14.649
95,05-01-2015 23.40,13.738
96,05-01-2015 23.55,13.642
97,05-02-2015 0.10,13.522
98,05-02-2015 0.25,13.401
99,05-02-2015 0.40,13.834
100,05-02-2015 0.55,12.485
101,05-02-2015 1.10,12.63
102,05-02-2015 1.25,13.04
103,05-02-2015 1.40,12.558
104,05-02-2015 1.55,12.389
105,05-02-2015 2.10,12.268
106,05-02-2015 2.25,12.268
107,05-02-2015 2.40,12.219
108,05-02-2015 2.55,12.147
109,05-02-2015 3.10,11.856
110,05-02-2015 3.25,11.759
111,05-02-2015 3.40,11.565
112,05-02-2015 3.55,11.832
113,05-02-2015 4.10,12.122
114,05-02-2015 4.25,11.419
115,05-02-2015 4.40,10.956
116,05-02-2015 4.55,10.81
117,05-02-2015 5.10,11.175
118,05-02-2015 5.25,11.102
119,05-02-2015 5.40,10.712
120,05-02-2015 5.55,10.932
121,05-02-2015 6.10,11.2
122,05-02-2015 6.25,11.759
123,05-02-2015 6.40,13.233
124,05-02-2015 6.55,15.629
125,05-02-2015 7.10,17.153
126,05-02-2015 7.25,18.057
127,05-02-2015 7.40,19.603
128,05-02-2015 7.55,20.507
129,05-02-2015 8.10,21.342
130,05-02-2015 8.25,22.25
131,05-02-2015 8.40,23.064
132,05-02-2015 8.55,23.4
133,05-02-2015 9.10,24.146
134,05-02-2015 9.25,25.065
135,05-02-2015 9.40,24.847
136,05-02-2015 9.55,25.186
137,05-02-2015 10.10,26.158
138,05-02-2015 10.25,26.036
139,05-02-2015 10.40,26.842
140,05-02-2015 10.55,27.702
141,05-02-2015 11.10,27.456
142,05-02-2015 11.25,28.147
143,05-02-2015 11.40,27.702
144,05-02-2015 11.55,28.147
145,05-02-2015 12.10,28.023
146,05-02-2015 12.25,28.419
147,05-02-2015 12.40,28.642
148,05-02-2015 12.55,28.891
149,05-02-2015 13.10,29.04
150,05-02-2015 13.25,29.09
151,05-02-2015 13.40,28.493
152,05-02-2015 13.55,28.518
153,05-02-2015 14.10,28.196
154,05-02-2015 14.25,27.875
155,05-02-2015 14.40,27.899
156,05-02-2015 14.55,27.579
157,05-02-2015 15.10,27.186
158,05-02-2015 15.25,26.867
159,05-02-2015 15.40,26.329
160,05-02-2015 15.55,25.866
161,05-02-2015 16.10,25.671
162,05-02-2015 16.25,25.089
163,05-02-2015 16.40,24.243
164,05-02-2015 16.55,23.352
165,05-02-2015 17.10,22.298
166,05-02-2015 17.25,21.413
167,05-02-2015 17.40,20.126
168,05-02-2015 17.55,18.01
169,05-02-2015 18.10,16.487
170,05-02-2015 18.25,16.725
171,05-02-2015 18.40,17.439
172,05-02-2015 18.55,16.868
173,05-02-2015 19.10,16.058
174,05-02-2015 19.25,14.218
175,05-02-2015 19.40,15.079
176,05-02-2015 19.55,14.002
177,05-02-2015 20.10,14.792
178,05-02-2015 20.25,15.891
179,05-02-2015 20.40,14.984
180,05-02-2015 20.55,14.409
181,05-02-2015 21.10,14.529
182,05-02-2015 21.25,14.409
183,05-02-2015 21.40,13.978
184,05-02-2015 21.55,13.594
185,05-02-2015 22.10,13.714
186,05-02-2015 22.25,13.906
187,05-02-2015 22.40,14.05
188,05-02-2015 22.55,13.81
189,05-02-2015 23.10,13.642
190,05-02-2015 23.25,13.233
191,05-02-2015 23.40,13.185
192,05-02-2015 23.55,13.377
193,05-03-2015 0.10,13.209
194,05-03-2015 0.25,13.016
195,05-03-2015 0.40,13.185
196,05-03-2015 0.55,12.968
197,05-03-2015 1.10,12.944
198,05-03-2015 1.25,13.401
199,05-03-2015 1.40,13.305
200,05-03-2015 1.55,13.064
201,05-03-2015 2.10,12.509
202,05-03-2015 2.25,12.34
203,05-03-2015 2.40,12.364
204,05-03-2015 2.55,12.727
205,05-03-2015 3.10,12.63
206,05-03-2015 3.25,12.485
207,05-03-2015 3.40,12.316
208,05-03-2015 3.55,12.775
209,05-03-2015 4.10,12.654
210,05-03-2015 4.25,12.654
211,05-03-2015 4.40,12.461
212,05-03-2015 4.55,12.703
213,05-03-2015 5.10,12.944
214,05-03-2015 5.25,12.823
215,05-03-2015 5.40,12.534
216,05-03-2015 5.55,12.509
217,05-03-2015 6.10,12.654
218,05-03-2015 6.25,13.185
219,05-03-2015 6.40,15.342
220,05-03-2015 6.55,15.819
221,05-03-2015 7.10,16.82
222,05-03-2015 7.25,18.604
223,05-03-2015 7.40,19.341
224,05-03-2015 7.55,20.341
225,05-03-2015 8.10,20.817
226,05-03-2015 8.25,21.604
227,05-03-2015 8.40,22.274
228,05-03-2015 8.55,22.585
229,05-03-2015 9.10,24.026
230,05-03-2015 9.25,24.171
231,05-03-2015 9.40,24.508
232,05-03-2015 9.55,25.016
233,05-03-2015 10.10,25.55
234,05-03-2015 10.25,25.817
235,05-03-2015 10.40,26.256
236,05-03-2015 10.55,26.94
237,05-03-2015 11.10,26.916
238,05-03-2015 11.25,26.965
239,05-03-2015 11.40,27.702
240,05-03-2015 11.55,27.924
241,05-03-2015 12.10,27.333
242,05-03-2015 12.25,28.32
243,05-03-2015 12.40,28.245
244,05-03-2015 12.55,27.825
245,05-03-2015 13.10,28.444
246,05-03-2015 13.25,28.543
247,05-03-2015 13.40,29.14
248,05-03-2015 13.55,28.766
249,05-03-2015 14.10,29.165
250,05-03-2015 14.25,28.692
251,05-03-2015 14.40,28.642
252,05-03-2015 14.55,28.742
253,05-03-2015 15.10,27.949
254,05-03-2015 15.25,27.998
255,05-03-2015 15.40,27.431
256,05-03-2015 15.55,27.087
257,05-03-2015 16.10,26.378
258,05-03-2015 16.25,25.914
259,05-03-2015 16.40,24.823
260,05-03-2015 16.55,24.098
261,05-03-2015 17.10,22.8
262,05-03-2015 17.25,22.753
263,05-03-2015 17.40,21.485
264,05-03-2015 17.55,20.484
265,05-03-2015 18.10,20.031
266,05-03-2015 18.25,18.438
267,05-03-2015 18.40,18.247
268,05-03-2015 18.55,18.461
269,05-03-2015 19.10,18.628
270,05-03-2015 19.25,17.796
271,05-03-2015 19.40,17.605
272,05-03-2015 19.55,17.034
273,05-03-2015 20.10,16.749
274,05-03-2015 20.25,16.796
275,05-03-2015 20.40,16.249
276,05-03-2015 20.55,16.439
277,05-03-2015 21.10,16.32
278,05-03-2015 21.25,16.225
279,05-03-2015 21.40,16.654
280,05-03-2015 21.55,16.558
281,05-03-2015 22.10,16.582
282,05-03-2015 22.25,16.534
283,05-03-2015 22.40,16.701
284,05-03-2015 22.55,16.415
285,05-03-2015 23.10,16.249
286,05-03-2015 23.25,15.939
287,05-03-2015 23.40,15.748
288,05-03-2015 23.55,15.676
289,05-04-2015 0.10,15.796
290,05-04-2015 0.25,15.939
291,05-04-2015 0.40,15.438
292,05-04-2015 0.55,15.079
293,05-04-2015 1.10,14.888
294,05-04-2015 1.25,14.888
295,05-04-2015 1.40,15.008
296,05-04-2015 1.55,15.055
297,05-04-2015 2.10,14.984
298,05-04-2015 2.25,14.816
299,05-04-2015 2.40,14.96
300,05-04-2015 2.55,15.247
301,05-04-2015 3.10,15.318
302,05-04-2015 3.25,15.318
303,05-04-2015 3.40,15.39
304,05-04-2015 3.55,15.151
305,05-04-2015 4.10,15.031
306,05-04-2015 4.25,14.888
307,05-04-2015 4.40,14.768
308,05-04-2015 4.55,14.697
309,05-04-2015 5.10,14.577
310,05-04-2015 5.25,14.146
311,05-04-2015 5.40,14.505
312,05-04-2015 5.55,14.505
313,05-04-2015 6.10,14.768
314,05-04-2015 6.25,15.39
315,05-04-2015 6.40,16.725
316,05-04-2015 6.55,17.582
317,05-04-2015 7.10,18.438
318,05-04-2015 7.25,19.365
319,05-04-2015 7.40,20.579
320,05-04-2015 7.55,20.817
321,05-04-2015 8.10,21.795
322,05-04-2015 8.25,22.561
323,05-04-2015 8.40,22.729
324,05-04-2015 8.55,23.256
325,05-04-2015 9.10,23.833
326,05-04-2015 9.25,24.992
327,05-04-2015 9.40,25.477
328,05-04-2015 9.55,25.987
329,05-04-2015 10.10,25.331
330,05-04-2015 10.25,26.769
331,05-04-2015 10.40,27.112
332,05-04-2015 10.55,27.875
333,05-04-2015 11.10,26.598
334,05-04-2015 11.25,28.369
335,05-04-2015 11.40,27.382
336,05-04-2015 11.55,29.165
337,05-04-2015 12.10,27.628
338,05-04-2015 12.25,27.702
339,05-04-2015 12.40,27.358
340,05-04-2015 12.55,27.801
341,05-04-2015 13.10,26.622
342,05-04-2015 13.25,29.065
343,05-04-2015 13.40,30.571
344,05-04-2015 13.55,29.79
345,05-04-2015 14.10,28.27
346,05-04-2015 14.25,27.382
347,05-04-2015 14.40,29.04
348,05-04-2015 14.55,26.867
349,05-04-2015 15.10,25.186
350,05-04-2015 15.25,25.089
351,05-04-2015 15.40,25.38
352,05-04-2015 15.55,24.315
353,05-04-2015 16.10,21.533
354,05-04-2015 16.25,21.509
355,05-04-2015 16.40,21.485
356,05-04-2015 16.55,21.366
357,05-04-2015 17.10,21.413
358,05-04-2015 17.25,20.913
359,05-04-2015 17.40,20.555
360,05-04-2015 17.55,20.317
361,05-04-2015 18.10,20.817
362,05-04-2015 18.25,20.722
363,05-04-2015 18.40,20.412
364,05-04-2015 18.55,20.269
365,05-04-2015 19.10,20.388
366,05-04-2015 19.25,20.484
367,05-04-2015 19.40,20.579
368,05-04-2015 19.55,20.531
369,05-04-2015 20.10,20.246
370,05-04-2015 20.25,19.984
371,05-04-2015 20.40,19.77
372,05-04-2015 20.55,19.912
373,05-04-2015 21.10,19.77
374,05-04-2015 21.25,19.674
375,05-04-2015 21.40,19.484
376,05-04-2015 21.55,19.294
377,05-04-2015 22.10,19.222
378,05-04-2015 22.25,18.557
379,05-04-2015 22.40,17.962
380,05-04-2015 22.55,17.653
381,05-04-2015 23.10,17.177
382,05-04-2015 23.25,16.963
383,05-04-2015 23.40,16.749
384,05-04-2015 23.55,16.63
385,05-05-2015 0.10,16.368
386,05-05-2015 0.25,16.249
387,05-05-2015 0.40,16.225
388,05-05-2015 0.55,16.177
389,05-05-2015 1.10,16.368
390,05-05-2015 1.25,16.106
391,05-05-2015 1.40,16.32
392,05-05-2015 1.55,16.344
393,05-05-2015 2.10,16.249
394,05-05-2015 2.25,16.296
395,05-05-2015 2.40,15.986
396,05-05-2015 2.55,15.772
397,05-05-2015 3.10,15.461
398,05-05-2015 3.25,15.27
399,05-05-2015 3.40,15.151
400,05-05-2015 3.55,15.247
401,05-05-2015 4.10,15.199
402,05-05-2015 4.25,15.223
403,05-05-2015 4.40,15.055
404,05-05-2015 4.55,14.984
405,05-05-2015 5.10,15.127
406,05-05-2015 5.25,15.031
407,05-05-2015 5.40,14.936
408,05-05-2015 5.55,15.008
409,05-05-2015 6.10,15.247
