"id","temperature","humidity","timeC"
"5","31","80","05:48:19"
"6","31","80","05:48:30"
"7","31","80","05:48:40"
"8","31","80","05:48:51"
"9","31","80","05:49:02"
"10","31","80","05:49:12"
"11","31","80","05:49:23"
"12","31","80","05:49:33"
"13","31","80","05:49:44"
"14","31","80","05:49:55"
"15","31","80","05:50:05"
"16","22","75","05:20:18"
"17","25","64","05:20:28"
"18","24","61","05:20:39"
"19","24","59","05:20:50"
"20","13","175","05:21:00"
"21","15","175","05:21:11"
"22","33","95","05:21:32"
"23","32","95","05:21:42"
"24","30","95","05:21:53"
"25","26","65","10:18:43"
"26","22","69","10:18:54"
"27","22","69","10:19:04"
"28","26","69","06:00:41"
"29","26","66","06:01:01"
"30","24","74","06:32:48"
"31","23","73","06:35:24"
"32","23","75","06:35:40"
"33","23","75","06:35:53"
"34","23","75","06:36:07"
"35","23","75","06:36:21"
"36","23","75","06:36:34"
"37","23","75","06:36:50"
"38","23","75","06:37:03"
"39","23","75","06:37:30"
"40","23","75","06:37:44"
"41","23","75","06:37:57"
"42","23","75","06:38:10"
"43","23","75","06:38:22"
"44","23","75","06:38:34"
"45","23","75","06:38:46"
"46","23","75","06:38:59"
"47","23","75","06:39:13"
"48","23","75","06:39:28"
"49","23","75","06:39:40"
"50","23","74","06:39:52"
"51","23","75","06:40:05"
"52","23","74","06:40:17"
"53","23","74","06:40:32"
"54","24","66","01:21:08"
"55","24","69","01:21:21"
"56","23","70","01:21:34"
"57","23","72","01:21:47"
"58","23","70","01:21:59"
"59","23","70","01:22:11"
"60","23","70","01:22:24"
"61","23","70","01:22:37"
"62","23","70","01:23:04"
"63","23","69","01:23:17"
"64","23","70","01:23:30"
"65","23","71","01:23:42"
"66","23","71","01:23:55"
"67","23","71","01:24:07"
"68","23","87","01:24:20"
"69","24","72","01:24:32"
"70","24","66","01:24:58"
"71","24","66","01:25:10"
"72","24","67","01:25:35"
"73","24","68","01:25:59"
"74","24","68","01:26:15"
"75","23","69","01:26:40"
"76","23","70","01:26:52"
"77","23","70","01:27:04"
"78","23","70","01:27:16"
"79","23","71","01:27:29"
"80","23","71","01:27:41"
"81","23","72","01:27:53"
"82","23","72","01:28:05"
"83","23","72","01:28:43"
"84","23","72","01:29:07"
"85","23","72","01:29:19"
"86","23","72","01:29:32"
"87","23","72","01:29:44"
"88","23","72","01:29:56"
"89","23","72","01:30:08"
"90","23","72","01:30:20"
"91","23","72","01:30:33"
"92","23","72","01:30:45"
"93","23","73","01:30:57"
"94","23","74","01:31:10"
"95","23","73","01:31:22"
"96","23","72","01:31:34"
"97","23","73","01:31:47"
"98","23","73","01:31:59"
"99","23","73","01:32:23"
"100","23","73","01:32:35"
"101","23","73","01:32:47"
"102","23","73","01:32:59"
"103","23","73","01:33:12"
"104","23","73","01:33:24"
"105","23","73","01:35:08"
"106","23","74","01:35:30"
"107","23","73","01:35:54"
"108","23","73","01:36:16"
"109","23","73","01:36:38"
"110","23","75","01:37:01"
"111","23","75","01:37:23"
"112","23","75","01:37:45"
"113","23","74","01:38:07"
"114","23","73","01:38:30"
"115","23","73","01:38:53"
"116","23","73","01:39:15"
"117","23","72","01:39:37"
"118","23","72","01:40:00"
"119","23","73","01:40:22"
"120","23","73","01:40:44"
"121","23","73","01:41:06"
"122","23","73","01:41:29"
"123","23","73","01:41:51"
"124","23","74","01:42:13"
"125","23","73","01:42:35"
"126","21","73","01:42:57"
"127","23","74","01:43:19"
"128","23","74","01:43:41"
"129","23","73","01:44:04"
"130","23","73","01:44:27"
"131","23","72","01:44:49"
"132","23","72","01:45:11"
"133","23","71","01:45:33"
"134","23","71","01:45:55"
"135","23","72","01:46:18"
"136","23","72","01:46:40"
"137","23","72","01:47:02"
"138","23","73","01:47:24"
"139","23","72","01:47:47"
"140","23","72","01:48:10"
"141","23","73","01:48:33"
"142","23","73","01:48:55"
"143","23","73","01:49:17"
"144","23","73","01:49:40"
"145","23","73","01:50:08"
"146","23","73","01:50:33"
"147","23","74","01:50:55"
"148","23","73","01:51:17"
"149","23","73","01:51:39"
"150","23","75","01:52:03"
"151","23","75","01:52:25"
"152","23","75","01:52:47"
"153","23","75","01:53:09"
"154","23","75","01:53:31"
"155","23","75","01:53:53"
"156","23","75","01:54:15"
"157","23","74","01:54:38"
"158","23","73","01:55:00"
"159","23","73","01:55:45"
"160","23","73","01:56:07"
"161","23","73","01:56:29"
