Date_time,Temperature
01-01-2011,20.5
02-01-2011,19.1
03-01-2011,20.4
04-01-2011,21.9
05-01-2011,20.7
06-01-2011,20.3
07-01-2011,19.2
08-01-2011,19.6
09-01-2011,20.4
10-01-2011,20.5
11-01-2011,18.7
12-01-2011,18.7
13-01-2011,19.5
14-01-2011,19.3
15-01-2011,19.2
16-01-2011,19.2
17-01-2011,20.1
18-01-2011,20.4
19-01-2011,20.5
20-01-2011,21.9
21-01-2011,21.9
22-01-2011,21.5
23-01-2011,21.3
24-01-2011,21.2
25-01-2011,21.3
26-01-2011,22.3
27-01-2011,23.6
28-01-2011,22.6
29-01-2011,21.0
30-01-2011,21.8
31-01-2011,22.3
01-02-2011,22.2
02-02-2011,22.5
03-02-2011,22.6
04-02-2011,21.8
05-02-2011,21.8
06-02-2011,23.2
07-02-2011,21.2
08-02-2011,21.3
09-02-2011,21.1
10-02-2011,21.3
11-02-2011,22.1
12-02-2011,22.7
13-02-2011,21.8
14-02-2011,21.5
15-02-2011,20.9
16-02-2011,20.9
17-02-2011,21.1
18-02-2011,20.3
19-02-2011,20.4
20-02-2011,20.2
21-02-2011,20.9
22-02-2011,23.1
23-02-2011,22.9
24-02-2011,22.8
25-02-2011,22.2
26-02-2011,22.3
27-02-2011,23.6
28-02-2011,24.9
01-03-2011,24.3
02-03-2011,24.2
03-03-2011,25.3
04-03-2011,25.6
05-03-2011,25.4
06-03-2011,26.0
07-03-2011,27.3
08-03-2011,26.3
09-03-2011,25.8
10-03-2011,26.4
11-03-2011,25.3
12-03-2011,26.2
13-03-2011,26.2
14-03-2011,26.2
15-03-2011,26.9
16-03-2011,26.8
17-03-2011,27.3
18-03-2011,26.2
19-03-2011,25.1
20-03-2011,25.2
21-03-2011,24.9
22-03-2011,25.3
23-03-2011,25.6
24-03-2011,25.7
25-03-2011,26.2
26-03-2011,26.2
27-03-2011,26.8
28-03-2011,26.9
29-03-2011,26.8
30-03-2011,26.7
31-03-2011,26.8
01-04-2011,28.5
02-04-2011,26.3
03-04-2011,25.0
04-04-2011,23.9
05-04-2011,23.7
06-04-2011,25.2
07-04-2011,25.8
08-04-2011,27.5
09-04-2011,27.1
10-04-2011,26.3
11-04-2011,27.3
12-04-2011,27.3
13-04-2011,25.9
14-04-2011,24.5
15-04-2011,25.2
16-04-2011,25.9
17-04-2011,25.4
18-04-2011,27.4
19-04-2011,26.7
20-04-2011,26.7
21-04-2011,26.6
22-04-2011,26.1
23-04-2011,25.8
24-04-2011,25.0
25-04-2011,25.8
26-04-2011,27.3
27-04-2011,28.1
28-04-2011,26.2
29-04-2011,26.6
30-04-2011,25.6
01-05-2011,24.5
02-05-2011,26.2
03-05-2011,26.3
04-05-2011,26.3
05-05-2011,26.7
06-05-2011,25.4
07-05-2011,25.1
08-05-2011,25.1
09-05-2011,26.1
10-05-2011,25.9
11-05-2011,27.0
12-05-2011,26.8
13-05-2011,27.0
14-05-2011,27.6
15-05-2011,26.5
16-05-2011,27.9
17-05-2011,27.2
18-05-2011,25.5
19-05-2011,25.9
20-05-2011,25.1
21-05-2011,25.2
22-05-2011,26.1
23-05-2011,26.8
24-05-2011,26.9
25-05-2011,26.8
26-05-2011,26.1
27-05-2011,25.3
28-05-2011,25.1
29-05-2011,26.1
30-05-2011,25.5
31-05-2011,26.4
01-06-2011,25.9
02-06-2011,23.4
03-06-2011,23.1
04-06-2011,23.1
05-06-2011,23.1
06-06-2011,23.3
07-06-2011,23.9
08-06-2011,23.1
09-06-2011,21.7
10-06-2011,22.1
11-06-2011,22.5
12-06-2011,21.9
13-06-2011,21.8
14-06-2011,22.0
15-06-2011,23.7
16-06-2011,23.6
17-06-2011,23.3
18-06-2011,23.1
19-06-2011,22.6
20-06-2011,23.5
21-06-2011,23.9
22-06-2011,24.2
23-06-2011,22.7
24-06-2011,23.6
25-06-2011,23.4
26-06-2011,23.9
27-06-2011,22.7
28-06-2011,22.8
29-06-2011,22.6
30-06-2011,22.0
01-07-2011,23.2
02-07-2011,23.6
03-07-2011,22.9
04-07-2011,21.9
05-07-2011,22.5
06-07-2011,23.1
07-07-2011,22.2
08-07-2011,23.4
09-07-2011,22.6
10-07-2011,21.6
11-07-2011,21.3
12-07-2011,22.4
13-07-2011,22.1
14-07-2011,22.5
15-07-2011,22.2
16-07-2011,22.9
17-07-2011,22.6
18-07-2011,22.9
19-07-2011,23.1
20-07-2011,21.4
21-07-2011,23.3
22-07-2011,22.7
23-07-2011,23.2
24-07-2011,21.9
25-07-2011,22.4
26-07-2011,22.6
27-07-2011,22.2
28-07-2011,21.8
29-07-2011,22.1
30-07-2011,21.9
31-07-2011,21.7
01-08-2011,22.3
02-08-2011,23.0
03-08-2011,22.6
04-08-2011,22.3
05-08-2011,22.6
06-08-2011,22.8
07-08-2011,22.8
08-08-2011,23.2
09-08-2011,22.8
10-08-2011,22.2
11-08-2011,22.7
12-08-2011,22.8
13-08-2011,23.5
14-08-2011,23.0
15-08-2011,22.3
16-08-2011,22.8
17-08-2011,22.3
18-08-2011,22.6
19-08-2011,23.2
20-08-2011,23.1
21-08-2011,22.7
22-08-2011,22.5
23-08-2011,22.4
24-08-2011,21.6
25-08-2011,21.4
26-08-2011,21.1
27-08-2011,21.7
28-08-2011,22.3
29-08-2011,22.2
30-08-2011,22.1
31-08-2011,22.1
01-09-2011,22.4
02-09-2011,22.4
03-09-2011,22.5
04-09-2011,21.8
05-09-2011,22.6
06-09-2011,23.3
07-09-2011,23.3
08-09-2011,22.6
09-09-2011,22.8
10-09-2011,21.9
11-09-2011,23.0
12-09-2011,22.9
13-09-2011,22.7
14-09-2011,22.7
15-09-2011,22.7
16-09-2011,23.1
17-09-2011,22.9
18-09-2011,22.1
19-09-2011,22.7
20-09-2011,21.6
21-09-2011,22.1
22-09-2011,22.2
23-09-2011,22.6
24-09-2011,22.9
25-09-2011,23.4
26-09-2011,23.5
27-09-2011,23.6
28-09-2011,23.3
29-09-2011,22.7
30-09-2011,23.0
01-10-2011,22.6
02-10-2011,23.4
03-10-2011,22.8
04-10-2011,23.8
05-10-2011,22.8
06-10-2011,23.9
07-10-2011,24.9
08-10-2011,23.1
09-10-2011,24.0
10-10-2011,23.8
11-10-2011,23.1
12-10-2011,23.7
13-10-2011,23.1
