temperature,humidity,timeC,date
31,80,05:48:19,21-10-2019
31,80,05:48:30,21-10-2019
31,80,05:48:40,21-10-2019
31,80,05:48:51,21-10-2019
31,80,05:49:02,21-10-2019
31,80,05:49:12,21-10-2019
31,80,05:49:23,21-10-2019
31,80,05:49:33,21-10-2019
31,80,05:49:44,21-10-2019
31,80,05:49:55,21-10-2019
31,80,05:50:05,21-10-2019
22,75,05:20:18,25-10-2019
25,64,05:20:28,25-10-2019
24,61,05:20:39,25-10-2019
24,59,05:20:50,25-10-2019
33,95,05:21:32,25-10-2019
32,95,05:21:42,25-10-2019
30,95,05:21:53,28-10-2019
26,65,10:18:43,28-10-2019
22,69,10:18:54,28-10-2019
22,69,10:19:04,28-10-2019
26,69,06:00:41,28-10-2019
26,66,06:01:01,28-10-2019
24,74,06:32:48,28-10-2019
23,73,06:35:24,28-10-2019
23,75,06:35:40,28-10-2019
23,75,06:35:53,15-11-2019
23,75,06:36:07,15-11-2019
23,75,06:36:21,15-11-2019
23,75,06:36:34,15-11-2019
23,75,06:36:50,15-11-2019
23,75,06:37:03,15-11-2019
23,75,06:37:30,15-11-2019
23,75,06:37:44,15-11-2019
23,75,06:37:57,15-11-2019
23,75,06:38:10,15-11-2019
23,75,06:38:22,15-11-2019
23,75,06:38:34,15-11-2019
23,75,06:38:46,15-11-2019
23,75,06:38:59,15-11-2019
23,75,06:39:13,15-11-2019
23,75,06:39:28,15-11-2019
23,75,06:39:40,01-12-2019
23,74,06:39:52,01-12-2019
23,75,06:40:05,01-12-2019
23,74,06:40:17,01-12-2019
23,74,06:40:32,01-12-2019
24,66,01:21:08,01-12-2019
24,69,01:21:21,01-12-2019
