Index,Date_time,Temperature
1,30-05-2019,21
2,31-05-2019,19
3,01-06-2019,20
4,02-06-2019,22
5,03-06-2019,21
6,04-06-2019,20
7,05-06-2019,19
8,06-06-2019,20
9,07-06-2019,20
10,08-06-2019,21
11,09-06-2019,19
12,10-06-2019,19
13,11-06-2019,20
14,12-06-2019,19
15,13-06-2019,19
16,14-06-2019,19
17,15-06-2019,20
18,16-06-2019,20
19,17-06-2019,21
20,18-06-2019,22
21,19-06-2019,22
22,20-06-2019,22
23,21-06-2019,21
24,22-06-2019,21
25,23-06-2019,21
26,24-06-2019,22
27,25-06-2019,24
28,26-06-2019,23
29,27-06-2019,21
30,28-06-2019,22
31,29-06-2019,22
32,30-06-2019,22
33,01-07-2019,23
34,02-07-2019,23
35,03-07-2019,22
36,04-07-2019,22
37,05-07-2019,23
38,06-07-2019,21
39,07-07-2019,21
40,08-07-2019,21
41,09-07-2019,21
42,10-07-2019,22
43,11-07-2019,23
44,12-07-2019,22
45,13-07-2019,22
46,14-07-2019,21
47,15-07-2019,21
48,16-07-2019,21
49,17-07-2019,20
50,18-07-2019,20
51,19-07-2019,20
52,20-07-2019,21
53,21-07-2019,23
54,22-07-2019,23
55,23-07-2019,23
56,24-07-2019,22
57,25-07-2019,22
58,26-07-2019,24
59,27-07-2019,25
60,28-07-2019,24
61,29-07-2019,24
62,30-07-2019,25
63,31-07-2019,26
64,01-08-2019,25
65,02-08-2019,26
66,03-08-2019,27
67,04-08-2019,26
68,05-08-2019,26
69,06-08-2019,26
70,07-08-2019,25
71,08-08-2019,26
72,09-08-2019,26
73,10-08-2019,26
74,11-08-2019,27
75,12-08-2019,27
76,13-08-2019,27
77,14-08-2019,26
78,15-08-2019,25
79,16-08-2019,25
80,17-08-2019,25
81,18-08-2019,25
82,19-08-2019,26
83,20-08-2019,26
84,21-08-2019,26
85,22-08-2019,26
86,23-08-2019,27
87,24-08-2019,27
88,25-08-2019,27
89,26-08-2019,27
90,27-08-2019,27
91,28-08-2019,29
92,29-08-2019,26
93,30-08-2019,25
94,31-08-2019,24
95,01-09-2019,24
96,02-09-2019,25
97,03-09-2019,26
98,04-09-2019,28
99,05-09-2019,27
100,06-09-2019,26
101,07-09-2019,27
102,08-09-2019,27
103,09-09-2019,26
104,10-09-2019,25
105,11-09-2019,25
106,12-09-2019,26
107,13-09-2019,25
108,14-09-2019,27
109,15-09-2019,27
110,16-09-2019,27
111,17-09-2019,27
112,18-09-2019,26
113,19-09-2019,26
114,20-09-2019,25
115,21-09-2019,26
116,22-09-2019,27
117,23-09-2019,28
118,24-09-2019,26
119,25-09-2019,27
120,26-09-2019,26
121,27-09-2019,25
122,28-09-2019,26
123,29-09-2019,26
124,30-09-2019,26
125,01-10-2019,27
126,02-10-2019,25
127,03-10-2019,25
128,04-10-2019,25
129,05-10-2019,26
130,06-10-2019,26
131,07-10-2019,27
132,08-10-2019,27
133,09-10-2019,27
134,10-10-2019,28
135,11-10-2019,27
136,12-10-2019,28
137,13-10-2019,27
138,14-10-2019,26
139,15-10-2019,26
140,16-10-2019,25
141,17-10-2019,25
142,18-10-2019,26
143,19-10-2019,27
144,20-10-2019,27
145,21-10-2019,27
146,22-10-2019,26
147,23-10-2019,25
148,24-10-2019,25
149,25-10-2019,26
150,26-10-2019,26
151,27-10-2019,26
152,28-10-2019,26
153,29-10-2019,23
154,30-10-2019,23
155,31-10-2019,23
156,01-11-2019,23
157,02-11-2019,23
158,03-11-2019,24
159,04-11-2019,23
160,05-11-2019,22
161,06-11-2019,22
162,07-11-2019,23
163,08-11-2019,22
164,09-11-2019,22
165,10-11-2019,22
166,11-11-2019,24
167,12-11-2019,24
168,13-11-2019,23
169,14-11-2019,23
170,15-11-2019,23
171,16-11-2019,24
172,17-11-2019,24
173,18-11-2019,24
174,19-11-2019,23
175,20-11-2019,24
176,21-11-2019,23
177,22-11-2019,24
178,23-11-2019,23
179,24-11-2019,23
180,25-11-2019,23
181,26-11-2019,22
182,27-11-2019,23
183,28-11-2019,24
184,29-11-2019,23
185,30-11-2019,22
186,01-12-2019,23
187,02-12-2019,23
188,03-12-2019,22
189,04-12-2019,23
190,05-12-2019,23
191,06-12-2019,22
192,07-12-2019,21
193,08-12-2019,22
194,09-12-2019,22
195,10-12-2019,23
196,11-12-2019,22
197,12-12-2019,23
198,13-12-2019,23
199,14-12-2019,23
200,15-12-2019,23
201,16-12-2019,21
202,17-12-2019,23
203,18-12-2019,23
204,19-12-2019,23
205,20-12-2019,22
206,21-12-2019,22
207,22-12-2019,23
208,23-12-2019,22
209,24-12-2019,22
210,25-12-2019,22
211,26-12-2019,22
212,27-12-2019,22
213,28-12-2019,22
214,29-12-2019,23
215,30-12-2019,23
216,31-12-2019,22
217,01-01-2020,23
218,02-01-2020,23
219,03-01-2020,23
220,04-01-2020,23
221,05-01-2020,23
222,06-01-2020,22
223,07-01-2020,23
