Index,Date_time,Temperature
1,01-01-2011,68.9
2,01-02-2011,66.4
3,01-03-2011,68.7
4,01-04-2011,71.4
5,01-05-2011,69.3
6,01-06-2011,68.5
7,01-07-2011,66.5
8,01-08-2011,67.2
9,01-09-2011,68.7
10,01-10-2011,68.9
11,01-11-2011,65.7
12,01-12-2011,65.6
13,01-13-2011,67.1
14,01-14-2011,66.8
15,01-15-2011,66.5
16,01-16-2011,66.5
17,01-17-2011,68.2
18,01-18-2011,68.7
19,01-19-2011,68.9
20,01-20-2011,71.4
21,01-21-2011,71.5
22,01-22-2011,70.7
23,01-23-2011,70.3
24,01-24-2011,70.1
25,01-25-2011,70.4
26,01-26-2011,72.2
27,01-27-2011,74.4
28,01-28-2011,72.7
29,01-29-2011,69.8
30,01-30-2011,71.2
31,01-31-2011,72.2
32,02-01-2011,71.9
33,02-02-2011,72.5
34,02-03-2011,72.7
35,02-04-2011,71.2
36,02-05-2011,71.3
37,02-06-2011,73.7
38,02-07-2011,70.2
39,02-08-2011,70.4
40,02-09-2011,69.9
41,02-10-2011,70.4
42,02-11-2011,71.7
43,02-12-2011,72.9
44,02-13-2011,71.2
45,02-14-2011,70.7
46,02-15-2011,69.6
47,02-16-2011,69.6
48,02-17-2011,70
49,02-18-2011,68.5
50,02-19-2011,68.8
51,02-20-2011,68.3
52,02-21-2011,69.6
53,02-22-2011,73.5
54,02-23-2011,73.3
55,02-24-2011,73
56,02-25-2011,71.9
57,02-26-2011,72.2
58,02-27-2011,74.5
59,02-28-2011,76.9
60,03-01-2011,75.8
61,03-02-2011,75.5
62,03-03-2011,77.6
63,03-04-2011,78.1
64,03-05-2011,77.7
65,03-06-2011,78.8
66,03-07-2011,81.1
67,03-08-2011,79.4
68,03-09-2011,78.4
69,03-10-2011,79.6
70,03-11-2011,77.6
71,03-12-2011,79.1
72,03-13-2011,79.2
73,03-14-2011,79.2
74,03-15-2011,80.4
75,03-16-2011,80.3
76,03-17-2011,81.1
77,03-18-2011,79.2
78,03-19-2011,77.2
79,03-20-2011,77.4
80,03-21-2011,76.8
81,03-22-2011,77.6
82,03-23-2011,78.1
83,03-24-2011,78.2
84,03-25-2011,79.1
85,03-26-2011,79.1
86,03-27-2011,80.2
87,03-28-2011,80.5
88,03-29-2011,80.3
89,03-30-2011,80.1
90,03-31-2011,80.3
91,04-01-2011,83.3
92,04-02-2011,79.4
93,04-03-2011,77
94,04-04-2011,75.1
95,04-05-2011,74.7
96,04-06-2011,77.4
97,04-07-2011,78.4
98,04-08-2011,81.5
99,04-09-2011,80.8
100,04-10-2011,79.4
101,04-11-2011,81.1
102,04-12-2011,81.2
103,04-13-2011,78.6
104,04-14-2011,76.1
105,04-15-2011,77.3
106,04-16-2011,78.6
107,04-17-2011,77.8
108,04-18-2011,81.3
109,04-19-2011,80.1
110,04-20-2011,80
111,04-21-2011,79.9
112,04-22-2011,79
113,04-23-2011,78.5
114,04-24-2011,77
115,04-25-2011,78.5
116,04-26-2011,81.1
117,04-27-2011,82.6
118,04-28-2011,79.1
119,04-29-2011,79.8
120,04-30-2011,78
121,05-01-2011,76.1
122,05-02-2011,79.1
123,05-03-2011,79.3
124,05-04-2011,79.4
125,05-05-2011,80
126,05-06-2011,77.7
127,05-07-2011,77.1
128,05-08-2011,77.2
129,05-09-2011,79
130,05-10-2011,78.7
131,05-11-2011,80.6
132,05-12-2011,80.3
133,05-13-2011,80.6
134,05-14-2011,81.6
135,05-15-2011,79.7
136,05-16-2011,82.2
137,05-17-2011,80.9
138,05-18-2011,77.9
139,05-19-2011,78.6
140,05-20-2011,77.1
141,05-21-2011,77.3
142,05-22-2011,78.9
143,05-23-2011,80.3
144,05-24-2011,80.5
145,05-25-2011,80.2
146,05-26-2011,78.9
147,05-27-2011,77.6
148,05-28-2011,77.2
149,05-29-2011,79
150,05-30-2011,77.9
151,05-31-2011,79.6
152,06-01-2011,78.7
153,06-02-2011,74.2
154,06-03-2011,73.6
155,06-04-2011,73.6
156,06-05-2011,73.6
157,06-06-2011,74
158,06-07-2011,75.1
159,06-08-2011,73.6
160,06-09-2011,71
161,06-10-2011,
162,06-11-2011,
163,06-12-2011,
164,06-13-2011,71.7
165,06-14-2011,72.5
166,06-15-2011,71.5
167,06-16-2011,71.2
168,06-17-2011,71.6
169,06-18-2011,74.7
170,06-19-2011,74.4
171,06-20-2011,73.9
172,06-21-2011,73.5
173,06-22-2011,72.6
174,06-23-2011,74.3
175,06-24-2011,75
176,06-25-2011,75.5
177,06-26-2011,72.8
178,06-27-2011,74.4
179,06-28-2011,74.2
180,06-29-2011,75.1
181,06-30-2011,72.8
182,07-01-2011,73
183,07-02-2011,72.6
184,07-03-2011,71.6
185,07-04-2011,73.7
186,07-05-2011,74.4
187,07-06-2011,73.3
188,07-07-2011,71.5
189,07-08-2011,72.5
190,07-09-2011,73.6
191,07-10-2011,71.9
192,07-11-2011,74.2
193,07-12-2011,72.7
194,07-13-2011,70.8
195,07-14-2011,70.4
196,07-15-2011,72.3
197,07-16-2011,71.8
198,07-17-2011,72.5
199,07-18-2011,72
200,07-19-2011,73.3
201,07-20-2011,72.7
202,07-21-2011,73.3
203,07-22-2011,73.6
204,07-23-2011,70.6
205,07-24-2011,74
206,07-25-2011,72.9
207,07-26-2011,73.8
208,07-27-2011,71.5
209,07-28-2011,72.3
210,07-29-2011,72.6
211,07-30-2011,71.9
212,07-31-2011,71.3
213,08-01-2011,71.8
214,08-02-2011,71.5
215,08-03-2011,71.1
216,08-04-2011,72.2
217,08-05-2011,73.4
218,08-06-2011,72.7
219,08-07-2011,72.2
220,08-08-2011,72.6
221,08-09-2011,73
222,08-10-2011,73
223,08-11-2011,73.8
224,08-12-2011,73.1
225,08-13-2011,72
226,08-14-2011,72.9
227,08-15-2011,73.1
228,08-16-2011,74.3
229,08-17-2011,73.4
230,08-18-2011,72.2
231,08-19-2011,73.1
232,08-20-2011,72.1
233,08-21-2011,72.7
234,08-22-2011,73.8
235,08-23-2011,73.6
236,08-24-2011,72.8
237,08-25-2011,72.5
238,08-26-2011,72.3
239,08-27-2011,70.9
240,08-28-2011,70.6
241,08-29-2011,70
242,08-30-2011,71.1
243,08-31-2011,72.1
244,09-01-2011,71.9
245,09-02-2011,71.8
246,09-03-2011,71.7
247,09-04-2011,72.4
248,09-05-2011,72.4
249,09-06-2011,72.5
250,09-07-2011,71.3
251,09-08-2011,72.6
252,09-09-2011,73.9
253,09-10-2011,73.9
254,09-11-2011,72.7
255,09-12-2011,73.1
256,09-13-2011,71.4
257,09-14-2011,73.4
258,09-15-2011,73.3
259,09-16-2011,72.9
260,09-17-2011,72.8
261,09-18-2011,72.9
262,09-19-2011,73.6
263,09-20-2011,73.3
264,09-21-2011,71.7
265,09-22-2011,72.8
266,09-23-2011,70.8
267,09-24-2011,71.8
268,09-25-2011,72
269,09-26-2011,72.6
270,09-27-2011,73.3
271,09-28-2011,74.1
272,09-29-2011,74.3
273,09-30-2011,74.4
274,10-01-2011,73.9
275,10-02-2011,72.9
276,10-03-2011,73.4
277,10-04-2011,72.6
278,10-05-2011,74.1
279,10-06-2011,73
280,10-07-2011,74.9
281,10-08-2011,73
282,10-09-2011,75
283,10-10-2011,76.8
284,10-11-2011,73.6
285,10-12-2011,75.2
286,10-13-2011,74.9
287,10-14-2011,73.5
288,10-15-2011,74.7
289,10-16-2011,73.6
290,10-17-2011,75.3
291,10-18-2011,75
292,10-19-2011,75.1
293,10-20-2011,74
294,10-21-2011,74.6
295,10-22-2011,74.2
296,10-23-2011,73.6
297,10-24-2011,73.7
298,10-25-2011,74.9
299,10-26-2011,75
300,10-27-2011,75.1
301,10-28-2011,75.4
302,10-29-2011,73.8
303,10-30-2011,74.6
304,10-31-2011,74.8
305,11-01-2011,75.4
306,11-02-2011,74.1
307,11-03-2011,74.5
308,11-04-2011,74.5
309,11-05-2011,75.6
310,11-06-2011,74.5
311,11-07-2011,72
312,11-08-2011,71.1
313,11-09-2011,70.4
314,11-10-2011,69.5
315,11-11-2011,69.1
316,11-12-2011,71.1
317,11-13-2011,72.6
318,11-14-2011,71.5
319,11-15-2011,73
320,11-16-2011,71.6
321,11-17-2011,70.2
322,11-18-2011,69.3
323,11-19-2011,69.4
324,11-20-2011,70.9
325,11-21-2011,70.5
326,11-22-2011,70.1
